LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-377201,Bear River 3,42Bo0098,USA,Utah,940,30,Zea mays,Zea Mays,NA,-9.2,NA,p3k14c
Beta-340989,Hot Spring Lake Site,42Dv0002,USA,Utah,1260,30,Zea mays,Maize,NA,-9.3,NA,p3k14c
Beta-340987,Hot Spring Lake Site,42Dv0002,USA,Utah,1220,30,Zea mays,Maize,NA,-9,NA,p3k14c
Beta-340988,Hot Spring Lake Site,42Dv0002,USA,Utah,1270,30,Zea mays,Maize,NA,-9,NA,p3k14c
Beta-175367,Salt Lake Airport,42SL0230,USA,Utah,1080,50,Zea mays,Maize,NA,-10.3,NA,p3k14c
Beta-331683,Warren Mounds,42Wb0057,USA,Utah,830,30,Zea mays,Maize,NA,-10.4,NA,p3k14c
Beta-379247,Willard Mounds,42Bo0003-6,USA,Utah,1040,30,Zea mays,Maize,NA,-11.1,NA,p3k14c
Beta-373439,South Temple,42SL0285,USA,Utah,870,30,Zea mays,Maize,NA,-10.5,NA,p3k14c
Beta-373437,South Temple,42SL0285,USA,Utah,900,30,Zea mays,Maize,NA,-10.5,NA,p3k14c
Beta-373438,South Temple,42SL0285,USA,Utah,810,30,Zea mays,Maize,NA,-10.4,NA,p3k14c
Beta-122979,South Temple Site,42SL0285,USA,Utah,1080,60,Zea mays,Zea Mays,NA,-10.2,AMS,p3k14c
Beta-161581,NA,42Ga4567,USA,Utah,1170,70,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
Beta-33794/ETH-5947,NA,42To0504,USA,Utah,1290,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-319043,Get Outta There Site,LA 159879,USA,New Mexico,2460,30,Zea mays,Maize,NA,-11.4,AMS,p3k14c
Beta-217470,NA,42Em0760,USA,Utah,890,40,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-34942,Alvey Site,42Ka0172,USA,Utah,1690,80,Zea mays,Zea Mays,NA,-11.1,NA,p3k14c
Beta-34944,Alvey Site,42Ka0172,USA,Utah,2260,90,Zea mays,Zea Mays,NA,-10.8,NA,p3k14c
Beta-34943,Alvey Site,42Ka0172,USA,Utah,970,100,Zea mays,Zea Mays,NA,-10.6,NA,p3k14c
AA-10373,Alvey Site,42Ka0172,USA,Utah,1735,50,Zea mays,Zea Mays,NA,-10,NA,p3k14c
AA-10374,Alvey Site,42Ka0172,USA,Utah,1755,50,Zea mays,Zea Mays,NA,-10,NA,p3k14c
AA-10375,Alvey Site,42Ka0172,USA,Utah,1830,50,Zea mays,Zea Mays,NA,-10,NA,p3k14c
OxA-25507,McEuen Cave,,USA,Arizona,2699,26,Zea mays,Uncharred maize cob,NA,NA,AMS,da Fonseca et al. 2015
Beta-237356,Rangers Dormitory,42Cb2671,USA,Utah,950,40,Zea mays,Zea Mays,NA,-9.6,AMS,p3k14c
Beta-373445,Smoking Pipe,42Ut0150,USA,Utah,850,30,Zea mays,Maize,NA,-10.3,NA,p3k14c
Beta-373446,Smoking Pipe,42Ut0150,USA,Utah,800,30,Zea mays,Maize,NA,-10,NA,p3k14c
Beta-373444,Smoking Pipe,42Ut0150,USA,Utah,830,30,Zea mays,Maize,NA,-8.8,NA,p3k14c
Beta-373442,Woodard Mound,42Ut0102,USA,Utah,870,30,Zea mays,Maize,NA,-10.8,NA,p3k14c
Beta-373443,Woodard Mound,42Ut0102,USA,Utah,870,30,Zea mays,Maize,NA,-10.8,NA,p3k14c
Beta-161580,NA,42Ga4567,USA,Utah,770,50,Zea mays,Zea Mays,NA,-9.4,AMS,p3k14c
Beta-97794,Bent Oak Shelter,,USA,Utah,840,60,Zea mays,stalk,NA,-12.6,NA,p3k14c
Beta-95280,JJB Shelter,,USA,Utah,700,70,Zea mays,cob,NA,-10,NA,p3k14c
Beta-95279,JJB Shelter,,USA,Utah,810,60,Zea mays,cob,NA,-9.9,NA,p3k14c
Beta-95278,JJB Shelter,,USA,Utah,900,60,Zea mays,cob,NA,-9.8,NA,p3k14c
Beta-95284,JJB Shelter,,USA,Utah,820,60,Zea mays,cob,NA,-9.5,NA,p3k14c
Beta-252614,NA,42Cb0224,USA,Utah,240,80,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-102493,Desha Cave 1,42Sa00000,USA,Utah,1730,60,Zea mays,Zea Mays,NA,-9.3,NA,p3k14c
Beta-102492,Desha Cave 1,42Sa00000,USA,Utah,1840,50,Zea mays,Zea Mays,NA,-9.3,NA,p3k14c
Beta-252615,NA,42Cb2678,USA,Utah,1190,50,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-312653,Wolf Village,42Ut0273,USA,Utah,900,30,Zea mays,Maize,NA,-11.8,AMS,p3k14c
Beta-440722,Wolf Village,42Ut0273,USA,Utah,890,30,Zea mays,Maize,NA,-11.5,AMS,p3k14c
Beta-312657,Wolf Village,42Ut0273,USA,Utah,1340,30,Zea mays,Maize,NA,-11.4,AMS,p3k14c
Beta-287720,Wolf Village,42Ut0273,USA,Utah,970,40,Zea mays,Maize,NA,-11.2,AMS,p3k14c
Beta-441614,Wolf Village,42Ut0273,USA,Utah,940,30,Zea mays,Maize,NA,-11,AMS,p3k14c
Beta-287727,Wolf Village,42Ut0273,USA,Utah,1010,40,Zea mays,Maize,NA,-11,AMS,p3k14c
Beta-287730,Wolf Village,42Ut0273,USA,Utah,920,40,Zea mays,Maize,NA,-10.9,AMS,p3k14c
Beta-287724,Wolf Village,42Ut0273,USA,Utah,960,40,Zea mays,Maize,NA,-10.9,AMS,p3k14c
Beta-312654,Wolf Village,42Ut0273,USA,Utah,960,30,Zea mays,Maize,NA,-10.9,AMS,p3k14c
Beta-361249,Wolf Village,42Ut0273,USA,Utah,900,30,Zea mays,Maize,NA,-10.8,AMS,p3k14c
Beta-287722,Wolf Village,42Ut0273,USA,Utah,950,40,Zea mays,Maize,NA,-10.8,AMS,p3k14c
Beta-287723,Wolf Village,42Ut0273,USA,Utah,980,40,Zea mays,Maize,NA,-10.7,AMS,p3k14c
Beta-441613,Wolf Village,42Ut0273,USA,Utah,940,30,Zea mays,Maize,NA,-10.6,AMS,p3k14c
Beta-440723,Wolf Village,42Ut0273,USA,Utah,980,30,Zea mays,Maize,NA,-10.6,AMS,p3k14c
Beta-287728,Wolf Village,42Ut0273,USA,Utah,930,40,Zea mays,Maize,NA,-10.5,AMS,p3k14c
Beta-287725,Wolf Village,42Ut0273,USA,Utah,980,40,Zea mays,Maize,NA,-10.5,AMS,p3k14c
Beta-261681,Wolf Village,42Ut0273,USA,Utah,1300,40,Zea mays,Maize,NA,-10.5,AMS,p3k14c
Beta-287726,Wolf Village,42Ut0273,USA,Utah,970,40,Zea mays,Maize,NA,-10.3,AMS,p3k14c
Beta-261680,Wolf Village,42Ut0273,USA,Utah,1020,40,Zea mays,Maize,NA,-10.3,AMS,p3k14c
Beta-361250,Wolf Village,42Ut0273,USA,Utah,1170,30,Zea mays,Maize,NA,-10.3,AMS,p3k14c
Beta-338655,Wolf Village,42Ut0273,USA,Utah,900,30,Zea mays,Maize,NA,-10.2,AMS,p3k14c
Beta-287729,Wolf Village,42Ut0273,USA,Utah,910,40,Zea mays,Maize,NA,-10.2,AMS,p3k14c
Beta-261679,Wolf Village,42Ut0273,USA,Utah,960,40,Zea mays,Maize,NA,-10.2,AMS,p3k14c
Beta-361251,Wolf Village,42Ut0273,USA,Utah,970,30,Zea mays,Maize,NA,-10.1,AMS,p3k14c
Beta-287721,Wolf Village,42Ut0273,USA,Utah,990,40,Zea mays,Maize,NA,-10.1,AMS,p3k14c
Beta-312655,Wolf Village,42Ut0273,USA,Utah,1000,30,Zea mays,Maize,NA,-9.8,AMS,p3k14c
Beta-441612,Wolf Village,42Ut0273,USA,Utah,920,30,Zea mays,Maize,NA,-9.4,AMS,p3k14c
Beta-361252,Wolf Village,42Ut0273,USA,Utah,1290,30,Zea mays,Maize,NA,-9.4,AMS,p3k14c
Beta-338654,Wolf Village,42Ut0273,USA,Utah,910,30,Zea mays,Maize,NA,-8.7,AMS,p3k14c
Beta-312656,Wolf Village,42Ut0273,USA,Utah,990,30,Zea mays,Maize,NA,-11.3,NA,p3k14c
