"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"Beta-162534","Tularosa Cave","LAà","USA","New Mexico",830,50,735,1215,"Zea mays","cob","uncharred",NA,"AMS","774 to 756","750 to 684",NA,NA,NA,NA,NA,"901 to 868","853 to 850","821 to 811","800 to 670",NA,NA,"p3k14c"
"Beta-164063","High Rolls Cave","LA 114109","USA","New Mexico",3050,40,3260,-1311,"Zea mays","Maize husk, cupules and kernels",NA,NA,"AMS","3338 to 3285","3271 to 3209","3189 to 3185",NA,NA,NA,NA,"3367 to 3153","3151 to 3151","3087 to 3087",NA,NA,NA,"p3k14c"
"Beta-164069","High Rolls Cave","LA 114109","USA","New Mexico",3000,60,3184,-1235,"Zea mays","Maize",NA,NA,"AMS","3325 to 3298","3251 to 3136","3129 to 3105","3096 to 3075",NA,NA,NA,"3353 to 3003",NA,NA,NA,NA,NA,"p3k14c"
"Beta-164173","El Taller","AA:12:92 (ASM)","USA","Arizona",2830,40,2935,-986,"Zea mays","cupule","charred",-12.3,"AMS","2994 to 2980","2967 to 2873",NA,NA,NA,NA,NA,"3068 to 2847","2814 to 2805",NA,NA,NA,NA,"p3k14c"
"Beta-165413","Rich's Shelter","42Ga0882","USA","Utah",950,60,848,1102,"Zea mays","Zea Mays",NA,-10.1,NA,"918 to 896","892 to 793",NA,NA,NA,NA,NA,"955 to 943","939 to 733",NA,NA,NA,NA,"p3k14c"
"Beta-165414","Rich's Shelter","42Ga0882","USA","Utah",1080,80,995,955,"Zea mays","Zea Mays",NA,-9.9,NA,"1174 to 1166","1114 to 1109","1072 to 915",NA,NA,NA,NA,"1176 to 897","889 to 794",NA,NA,NA,NA,"p3k14c"
"Beta-166753","Tularosa Cave","LAà","USA","New Mexico",1900,40,1806,144,"Zea mays","cob","uncharred",NA,"AMS","1866 to 1854","1834 to 1742",NA,NA,NA,NA,NA,"1922 to 1904","1892 to 1716",NA,NA,NA,NA,"p3k14c"
"Beta-166754","Tularosa Cave","LAà","USA","New Mexico",850,40,751,1199,"Zea mays","cob","uncharred",NA,"AMS","786 to 721","705 to 694",NA,NA,NA,NA,NA,"901 to 869","819 to 812","799 to 677",NA,NA,NA,"p3k14c"
"Beta-166755","Tularosa Cave","LAà","USA","New Mexico",1920,40,1835,115,"Zea mays","cob","uncharred",NA,"AMS","1886 to 1782","1764 to 1747",NA,NA,NA,NA,NA,"1938 to 1730",NA,NA,NA,NA,NA,"p3k14c"
"Beta-166756","Romero and Valenzuela Caves",NA,"Mexico","Tamaulipas",2340,40,2356,-407,"Zea mays","cob","uncharred",NA,"AMS","2424 to 2383","2372 to 2323",NA,NA,NA,NA,NA,"2665 to 2660","2609 to 2604","2490 to 2306","2228 to 2204","2197 to 2182",NA,"p3k14c"
"Beta-166757","Romero and Valenzuela Caves",NA,"Mexico","Tamaulipas",2600,40,2738,-789,"Zea mays","cob","uncharred",NA,"AMS","2757 to 2721",NA,NA,NA,NA,NA,NA,"2838 to 2833","2780 to 2699","2634 to 2615","2589 to 2534","2532 to 2518",NA,"p3k14c"
"Beta-168511",NA,"42Un2889","USA","Utah",1340,40,1264,686,"Zea mays","Zea Mays",NA,-11.3,"RADIOMETRICPLUS","1299 to 1265","1207 to 1189","1185 to 1178",NA,NA,NA,NA,"1338 to 1336","1309 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-168512",NA,"42Un2889","USA","Utah",1520,80,1410,540,"Zea mays","Zea Mays",NA,-10.8,"RADIOMETRICPLUS","1514 to 1486","1475 to 1450","1442 to 1434","1420 to 1344","1325 to 1313",NA,NA,"1567 to 1564","1557 to 1555","1547 to 1289",NA,NA,NA,"p3k14c"
"Beta-168514",NA,"42Un2889","USA","Utah",1670,100,1558,392,"Zea mays","Zea Mays",NA,-11.7,"RADIOMETRICPLUS","1695 to 1664","1626 to 1507","1502 to 1470","1456 to 1414",NA,NA,NA,"1783 to 1764","1747 to 1348",NA,NA,NA,NA,"p3k14c"
"Beta-168788","Cortaro Road","AZ AA:12:232","USA","Arizona",2200,40,2223,-274,"Zea mays","Maize",NA,NA,"AMS","2307 to 2284","2279 to 2225","2210 to 2193","2182 to 2147","2130 to 2129",NA,NA,"2335 to 2105",NA,NA,NA,NA,NA,"p3k14c"
"Beta-168791","Cortaro Road","AZ AA:12:232","USA","Arizona",2630,40,2753,-804,"Zea mays","Maize",NA,-9.7,"AMS","2768 to 2735","2733 to 2729",NA,NA,NA,NA,NA,"2848 to 2807","2804 to 2803","2797 to 2716",NA,NA,NA,"p3k14c"
"Beta-168793","Cortaro Road","AZ AA:12:232","USA","Arizona",2620,40,2748,-799,"Zea mays","Maize",NA,-9.2,"AMS","2761 to 2727",NA,NA,NA,NA,NA,NA,"2847 to 2810","2790 to 2705","2629 to 2620","2556 to 2544",NA,NA,"p3k14c"
"Beta-168795","Cortaro Road","AZ AA:12:232","USA","Arizona",2960,40,3121,-1172,"Zea mays","Maize",NA,-10,"AMS","3207 to 3192","3181 to 3065",NA,NA,NA,NA,NA,"3317 to 3307","3237 to 2995","2979 to 2967",NA,NA,NA,"p3k14c"
"Beta-168796","Cortaro Road","AZ AA:12:232","USA","Arizona",2820,40,2923,-974,"Zea mays","Maize",NA,-11.1,"AMS","2989 to 2987","2963 to 2863",NA,NA,NA,NA,NA,"3059 to 2846","2819 to 2795",NA,NA,NA,NA,"p3k14c"
"Beta-168797","Cortaro Road","AZ AA:12:232","USA","Arizona",2840,40,2948,-999,"Zea mays","Maize",NA,-9.1,"AMS","2997 to 2975","2971 to 2878",NA,NA,NA,NA,NA,"3134 to 3132","3100 to 3099","3073 to 2849",NA,NA,NA,"p3k14c"
"Beta-168799","Cortaro Road","AZ AA:12:232","USA","Arizona",3320,40,3534,-1585,"Zea mays","Maize",NA,-10.1,"AMS","3573 to 3481","3473 to 3469",NA,NA,NA,NA,NA,"3680 to 3670","3637 to 3455",NA,NA,NA,NA,"p3k14c"
"Beta-168801","Cortaro Road","AZ AA:12:232","USA","Arizona",2840,40,2948,-999,"Zea mays","Maize",NA,-8.6,"AMS","2997 to 2975","2971 to 2878",NA,NA,NA,NA,NA,"3134 to 3132","3100 to 3099","3073 to 2849",NA,NA,NA,"p3k14c"
"Beta-168802","Cortaro Road","AZ AA:12:232","USA","Arizona",2820,40,2923,-974,"Zea mays","Maize",NA,-8.6,"AMS","2989 to 2987","2963 to 2863",NA,NA,NA,NA,NA,"3059 to 2846","2819 to 2795",NA,NA,NA,NA,"p3k14c"
"Beta-168968","Backyard Alcove","42Ga5171","USA","Utah",1000,40,901,1049,"Zea mays","Zea Mays",NA,-9.2,"AMS","955 to 942","940 to 903","866 to 856","847 to 826","809 to 803",NA,NA,"959 to 792",NA,NA,NA,NA,NA,"p3k14c"
"Beta-170573","Darkmold","5LP4991","USA","Colorado",1850,40,1762,188,"Zea mays","SEEDS",NA,-10,"AMS","1820 to 1806","1796 to 1756","1751 to 1714",NA,NA,NA,NA,"1867 to 1854","1837 to 1697","1662 to 1627",NA,NA,NA,"p3k14c"
"Beta-171878","Dairy Site","AZ AA:12:285/744","USA","Arizona",2810,40,2913,-964,"Zea mays","Maize",NA,NA,"AMS","2959 to 2861",NA,NA,NA,NA,NA,NA,"3055 to 3046","3029 to 3018","3004 to 2840","2830 to 2784",NA,NA,"p3k14c"
"Beta-171879","Dairy Site","AZ AA:12:285/744","USA","Arizona",2820,40,2923,-974,"Zea mays","Maize",NA,NA,"AMS","2989 to 2987","2963 to 2863",NA,NA,NA,NA,NA,"3059 to 2846","2819 to 2795",NA,NA,NA,NA,"p3k14c"
